account_id,customer_id,account_type,account_status,opened_date,current_balance_inr,credit_limit_inr
7000001,1100538,Wallet,Active,2021-10-26,13423.9,0
7000002,1011125,Current,Active,2020-11-12,1678.67,0
7000003,1047989,Wallet,Active,2024-11-05,387.46,0
7000004,1040440,Wallet,Active,2023-12-12,5732.68,0
7000005,1046815,Wallet,Active,2022-11-09,3485.11,0
7000006,1081227,Wallet,Dormant,2021-07-01,609.75,0
7000007,1072202,Wallet,Active,2026-06-25,13736.21,0
7000008,1007351,Savings,Active,2024-07-28,4663.38,0
7000009,1073031,Current,Active,2019-08-23,5412.78,0
7000010,1056191,Current,Active,2020-06-17,1455.68,0
7000011,1003271,Wallet,Active,2023-01-19,22597.95,0
7000012,1029638,Wallet,Active,2023-05-22,9579.71,0
7000013,1085043,Wallet,Active,2019-06-03,3344.32,0
7000014,1070799,Current,Dormant,2024-11-17,4462.54,0
7000015,1069800,Wallet,Active,2024-02-14,2931.2,0
7000016,1036254,Wallet,Active,2026-03-28,816.24,0
7000017,1105709,Wallet,Dormant,2020-10-26,22958.71,0
7000018,1092151,Wallet,Active,2019-02-26,6373.27,0
7000019,1088811,Credit Line,Closed,2022-11-06,5194.31,50000
7000020,1042513,Wallet,Active,2020-12-08,11802.38,0
7000021,1091698,Current,Active,2024-06-10,8607.31,0
7000022,1060234,Wallet,Frozen,2026-05-26,1618.57,0
7000023,1010507,Wallet,Active,2026-06-15,911.97,0
7000024,1037224,Wallet,Active,2024-05-22,7189.89,0
7000025,1104831,Savings,Active,2026-04-07,334.68,0
7000026,1005621,Wallet,Active,2023-04-08,6099.14,0
7000027,1066250,Savings,Active,2019-11-25,3894.48,0
7000028,1094402,Savings,Active,2023-08-13,524.15,0
7000029,1051786,Wallet,Frozen,2025-04-22,6961.09,0
7000030,1042411,Wallet,Active,2019-09-24,115.07,0
7000031,1019813,Savings,Active,2019-06-12,25226.75,0
7000032,1052183,Wallet,Active,2022-12-23,1988.27,0
7000033,1076140,Wallet,Active,2019-06-28,2676.47,0
