chargeback_id,transaction_id,chargeback_date,reason_code,chargeback_amount_inr,chargeback_status,recovery_amount_inr,merchant_response_days
3022339,90778914,2024-01-03 03:48:02,Service Not Provided,1051.49,Won,596.39,1
3001875,91319070,2024-01-03 13:40:42,Product Not Received,327.08,Lost,0.0,11
3019646,90066041,2024-01-04 06:39:54,Fraud,427.66,Lost,0.0,28
3014767,90038236,2024-01-05 10:13:33,Fraud,415.53,Won,231.25,25
3017089,91391509,2024-01-05 10:49:06,Service Not Provided,718.24,Represented,635.67,21
3009250,90062171,2024-01-05 12:31:35,Service Not Provided,375.96,Won,172.47,5
3000094,91014234,2024-01-06 12:00:06,Wrong Amount,755.84,Pending,0.0,7
3013668,91418503,2024-01-06 15:25:42,Service Not Provided,427.26,Won,323.34,12
3020219,90086348,2024-01-07 03:07:33,Duplicate,35.53,Pending,0.0,2
3021380,90963430,2024-01-07 05:52:24,Fraud,134.86,Represented,88.69,6
3000003,90326038,2024-01-07 12:33:06,Authorization Issue,622.95,Represented,407.99,29
3011362,90494841,2024-01-07 14:14:36,Authorization Issue,493.38,Lost,0.0,27
3007964,90368883,2024-01-07 17:20:45,Fraud,132.88,Lost,0.0,3
3015581,91084923,2024-01-08 03:14:07,Fraud,393.91,Pending,0.0,21
3008529,90271085,2024-01-08 11:14:17,Service Not Provided,831.8,Won,713.9,7
3004865,90866658,2024-01-08 12:18:24,Duplicate,5687.86,Won,5065.09,2
3020709,90930610,2024-01-08 15:52:09,Duplicate,1630.01,Represented,1183.81,25
3013443,90882250,2024-01-08 22:29:28,Duplicate,491.25,Represented,460.79,16
3023457,90890762,2024-01-09 08:31:14,Fraud,381.07,Won,172.11,15
3005265,90490784,2024-01-09 18:02:26,Fraud,478.68,Lost,0.0,9
3001602,90141834,2024-01-09 23:41:11,Product Not Received,296.18,Represented,146.56,8
3011732,90810499,2024-01-10 12:57:33,Service Not Provided,315.51,Won,224.9,29
3018968,91044349,2024-01-11 01:30:08,Fraud,1578.7,Lost,0.0,10
3012946,91183108,2024-01-11 04:33:53,Product Not Received,1342.33,Lost,0.0,26
3012841,90442060,2024-01-11 13:17:55,Product Not Received,2878.31,Represented,2763.79,16
3004772,90139422,2024-01-11 20:17:29,Fraud,246.68,Represented,117.8,19
3023389,90212709,2024-01-11 20:48:05,Fraud,228.31,Pending,0.0,21
3011001,90541161,2024-01-11 23:18:28,Authorization Issue,186.49,Represented,168.29,23
3020409,91279200,2024-01-12 02:46:26,Service Not Provided,118.39,Lost,0.0,16
3002401,91287554,2024-01-12 03:53:51,Service Not Provided,322.54,Lost,0.0,19
3014127,90777671,2024-01-12 09:46:48,Product Not Received,1292.38,Pending,0.0,20
3006290,91336270,2024-01-12 16:48:47,Product Not Received,1932.46,Won,1041.63,16
3001900,90913051,2024-01-13 01:31:22,Duplicate,1004.88,Won,606.3,6
3011491,91479387,2024-01-13 03:19:50,Service Not Provided,531.1,Won,266.25,22
3004338,91250120,2024-01-13 13:12:57,Duplicate,47.84,Lost,0.0,23
3021341,91322817,2024-01-13 14:11:25,Fraud,618.8,Won,285.18,12
3021386,90952996,2024-01-13 15:54:31,Product Not Received,2109.87,Lost,0.0,21
3022338,90021368,2024-01-14 02:05:22,Service Not Provided,1382.98,Won,718.82,24
3002952,90796875,2024-01-14 11:26:12,Fraud,154.52,Pending,0.0,1
3020148,90137672,2024-01-14 13:24:10,Product Not Received,493.34,Won,323.92,22
3001791,90739669,2024-01-14 21:44:56,Service Not Provided,247.31,Won,188.52,24
3015913,91446219,2024-01-14 21:50:04,Fraud,116.88,Represented,99.94,12
3004363,90258312,2024-01-15 07:05:19,Fraud,267.98,Lost,0.0,4
3020305,90012964,2024-01-15 18:38:36,Product Not Received,221.79,Represented,209.47,25
3000929,91119243,2024-01-15 18:57:51,Service Not Provided,863.19,Won,584.04,1
3013572,90509118,2024-01-15 19:14:03,Authorization Issue,639.56,Won,448.64,25
3018407,90996596,2024-01-15 20:01:42,Fraud,300.47,Won,225.78,29
3007777,90922459,2024-01-16 01:25:52,Fraud,611.65,Pending,0.0,30
3001452,91058256,2024-01-16 04:48:54,Product Not Received,203.57,Pending,0.0,17
3006158,90001414,2024-01-16 07:49:44,Duplicate,1809.41,Lost,0.0,7
3007370,90408080,2024-01-16 08:25:33,Wrong Amount,1788.68,Lost,0.0,29
3014072,90080868,2024-01-16 10:56:07,Authorization Issue,83.9,Pending,0.0,3
3008080,90731348,2024-01-16 13:19:23,Service Not Provided,175.02,Pending,0.0,4
3001626,90658313,2024-01-16 13:46:54,Duplicate,486.59,Won,270.37,6
3011562,90761079,2024-01-16 15:35:14,Fraud,429.71,Lost,0.0,6
3018331,91126637,2024-01-16 20:07:36,Fraud,896.31,Represented,614.13,5
3020854,90092825,2024-01-16 21:58:34,Fraud,1263.38,Won,976.54,27
3012157,91387961,2024-01-16 23:14:05,Service Not Provided,1042.98,Represented,742.64,20
3005204,90836878,2024-01-17 06:51:21,Fraud,2029.69,Pending,0.0,12
3002069,90385228,2024-01-17 12:40:13,Product Not Received,90.63,Pending,0.0,12
3003913,91395406,2024-01-17 14:18:19,Wrong Amount,270.65,Represented,170.57,12
3012711,90315448,2024-01-18 02:53:26,Product Not Received,248.36,Won,191.67,6
3012764,91459972,2024-01-18 05:06:23,Fraud,172.13,Represented,80.27,23
3012844,91328938,2024-01-18 06:51:35,Product Not Received,132.11,Pending,0.0,15
3009614,90272952,2024-01-18 10:34:59,Product Not Received,324.13,Lost,0.0,22
3014346,90666555,2024-01-18 10:54:11,Product Not Received,165.45,Pending,0.0,28
3003578,91153629,2024-01-18 10:55:02,Fraud,486.5,Represented,260.2,26
3016937,90080881,2024-01-18 11:51:28,Product Not Received,169.72,Lost,0.0,2
3014335,90040088,2024-01-18 13:07:11,Authorization Issue,225.75,Pending,0.0,2
3000610,91343935,2024-01-18 13:37:37,Product Not Received,436.57,Won,265.83,28
3020691,90537123,2024-01-18 14:27:03,Product Not Received,3647.87,Lost,0.0,22
3018923,90655828,2024-01-18 14:27:10,Product Not Received,739.33,Pending,0.0,2
3022305,90340391,2024-01-18 14:59:49,Authorization Issue,683.09,Won,599.49,14
3016579,91261839,2024-01-18 15:02:43,Product Not Received,1368.57,Lost,0.0,15
3012506,90032307,2024-01-18 17:47:18,Wrong Amount,1761.37,Won,1025.73,23
3012201,90740712,2024-01-18 22:10:02,Fraud,999.23,Represented,979.22,3
3011704,90363059,2024-01-18 23:10:54,Duplicate,7428.92,Lost,0.0,14
3019760,90668724,2024-01-19 00:24:36,Fraud,1180.32,Represented,638.66,5
3021433,90628993,2024-01-19 00:38:08,Product Not Received,2583.6,Pending,0.0,5
3001209,91456093,2024-01-19 03:09:46,Fraud,1331.39,Pending,0.0,2
3012645,90515044,2024-01-19 05:14:44,Service Not Provided,772.5,Pending,0.0,29
3013316,90347569,2024-01-19 05:54:07,Duplicate,2719.01,Represented,1826.98,7
3010344,91453126,2024-01-19 06:42:16,Authorization Issue,564.7,Won,330.52,30
3020712,91277389,2024-01-19 09:57:39,Fraud,403.86,Won,184.36,22
3001118,90491069,2024-01-19 11:29:07,Product Not Received,1046.97,Won,904.52,24
3003316,91092094,2024-01-19 11:44:27,Wrong Amount,2092.66,Won,1668.8,21
3011797,91280412,2024-01-19 13:39:53,Fraud,150.45,Represented,100.7,24
3004673,90507912,2024-01-19 17:17:47,Fraud,2512.48,Won,1816.33,2
3009300,90384841,2024-01-19 21:27:59,Product Not Received,988.16,Pending,0.0,14
3020550,91109853,2024-01-19 23:49:58,Wrong Amount,315.75,Represented,256.93,11
3002118,90357542,2024-01-20 02:00:48,Fraud,193.58,Lost,0.0,16
3022182,91421855,2024-01-20 03:05:48,Fraud,636.08,Won,353.77,20
3010058,90627642,2024-01-20 07:27:21,Product Not Received,1852.54,Lost,0.0,27
3015335,91392733,2024-01-20 08:55:14,Product Not Received,1496.71,Won,1186.22,13
3015874,91148003,2024-01-20 10:03:09,Wrong Amount,734.73,Lost,0.0,27
3015865,90199855,2024-01-20 20:10:46,Service Not Provided,156.84,Lost,0.0,28
3006346,90751323,2024-01-20 20:37:28,Fraud,460.1,Won,315.18,25
3003777,91074601,2024-01-21 04:48:53,Duplicate,329.8,Lost,0.0,1
3007583,90095552,2024-01-21 06:13:34,Service Not Provided,1297.84,Represented,832.33,8
3006410,90143446,2024-01-21 06:19:55,Service Not Provided,361.46,Won,174.89,8
3019151,91127627,2024-01-21 07:33:30,Fraud,2569.07,Lost,0.0,12
3010325,90389957,2024-01-21 11:34:54,Product Not Received,83.22,Pending,0.0,28
3015967,90121509,2024-01-21 12:26:53,Fraud,148.67,Represented,82.15,4
3014434,91338645,2024-01-21 14:04:40,Service Not Provided,1962.71,Lost,0.0,10
3014309,90454660,2024-01-21 16:17:02,Fraud,113.1,Pending,0.0,29
3011538,91485361,2024-01-21 22:31:38,Duplicate,88.33,Won,50.27,30
3011045,90317550,2024-01-22 00:16:19,Product Not Received,124.08,Represented,102.77,3
3019625,90056797,2024-01-22 05:41:42,Product Not Received,593.77,Won,560.05,4
3018879,90992194,2024-01-22 05:47:49,Fraud,296.06,Represented,277.37,13
3019050,90204565,2024-01-22 06:37:59,Service Not Provided,267.6,Pending,0.0,22
3023730,91124841,2024-01-22 07:15:14,Service Not Provided,492.84,Lost,0.0,10
3012040,90397143,2024-01-22 12:06:07,Wrong Amount,866.56,Won,779.21,2
