customer_id,customer_tenure_months,age,city,state,customer_segment,income_band,kyc_status,acquisition_channel,signup_date,risk_band
1000001,1,24,Pune,Maharashtra,Affluent,<3L,Verified,Social,2024-10-27,Medium
1000002,70,44,Coimbatore,Tamil Nadu,Affluent,3L-6L,Verified,Partner,2019-09-11,Low
1000003,10,37,Kochi,Kerala,Student,6L-10L,Verified,Paid Search,2023-11-28,Medium
1000004,62,38,Jaipur,Rajasthan,Affluent,3L-6L,Pending,Referral,2023-02-05,Low
1000005,2,32,Jaipur,Rajasthan,Mass Market,<3L,Verified,Paid Search,2022-01-26,Low
1000006,73,39,Vadodara,Gujarat,Affluent,10L-20L,Pending,Social,2023-10-20,Medium
1000007,21,28,Pune,Maharashtra,Mass Market,<3L,Verified,App Store,2021-01-08,Low
1000008,80,38,Kochi,Kerala,Affluent,6L-10L,Rejected,Paid Search,2022-02-10,Medium
1000009,40,24,Hyderabad,Telangana,Affluent,6L-10L,Verified,Partner,2025-11-08,Low
1000010,48,43,Pune,Maharashtra,Affluent,3L-6L,Verified,Organic,2025-05-20,Medium
1000011,41,43,Lucknow,Uttar Pradesh,Mass Market,10L-20L,Verified,Paid Search,2024-12-27,Low
1000012,63,31,Visakhapatnam,Andhra Pradesh,Mass Market,20L+,Verified,Referral,2020-02-02,Medium
1000013,19,30,Chandigarh,Chandigarh,Mass Market,6L-10L,Pending,Partner,2025-02-13,Low
1000014,42,39,Coimbatore,Tamil Nadu,Mass Market,6L-10L,Pending,Partner,2021-06-12,Low
1000015,21,25,Chandigarh,Chandigarh,Premium,10L-20L,Verified,Partner,2021-01-18,Low
1000016,67,28,Coimbatore,Tamil Nadu,Mass Market,20L+,Pending,App Store,2019-03-31,Medium
1000017,73,44,Lucknow,Uttar Pradesh,Mass Market,3L-6L,Verified,Referral,2019-07-11,Low
1000018,46,32,Bengaluru,Karnataka,Affluent,6L-10L,Verified,Social,2026-06-22,Medium
1000019,53,36,Nashik,Maharashtra,Student,6L-10L,Verified,Referral,2020-08-18,Low
1000020,62,22,Surat,Gujarat,SME Owner,3L-6L,Verified,Partner,2020-12-02,Low
1000021,35,39,Lucknow,Uttar Pradesh,Student,3L-6L,Verified,Organic,2019-06-01,Medium
1000022,24,48,Ahmedabad,Gujarat,Mass Market,10L-20L,Verified,Referral,2023-11-08,Low
1000023,80,36,Delhi,Delhi,Premium,3L-6L,Verified,Partner,2022-05-24,Low
1000024,58,45,Bhopal,Madhya Pradesh,Affluent,<3L,Verified,Partner,2020-06-08,Low
1000025,3,28,Coimbatore,Tamil Nadu,Premium,<3L,Verified,Social,2026-04-01,Medium
1000026,49,54,Indore,Madhya Pradesh,SME Owner,10L-20L,Pending,Organic,2025-09-13,Low
1000027,38,33,Jaipur,Rajasthan,Premium,3L-6L,Verified,Paid Search,2026-04-21,Low
1000028,21,25,Nashik,Maharashtra,Mass Market,<3L,Verified,App Store,2020-06-06,Low
1000029,67,19,Lucknow,Uttar Pradesh,Mass Market,<3L,Verified,Organic,2020-03-19,Low
1000030,58,40,Jaipur,Rajasthan,Mass Market,3L-6L,Verified,Referral,2025-06-21,Low
1000031,39,44,Surat,Gujarat,SME Owner,3L-6L,Verified,Paid Search,2024-06-29,Low
1000032,32,18,Hyderabad,Telangana,Student,<3L,Verified,Paid Search,2019-08-11,Low
1000033,19,39,Pune,Maharashtra,Mass Market,10L-20L,Verified,Organic,2021-05-03,Low
1000034,53,32,Nagpur,Maharashtra,Premium,20L+,Verified,Organic,2020-02-25,Low
1000035,72,44,Vadodara,Gujarat,Mass Market,6L-10L,Verified,Referral,2023-11-27,Low
1000036,56,27,Pune,Maharashtra,Mass Market,6L-10L,Verified,Referral,2021-12-06,Low
1000037,1,40,Vadodara,Gujarat,Mass Market,10L-20L,Verified,Referral,2021-12-31,High
1000038,57,51,Nashik,Maharashtra,Affluent,3L-6L,Verified,Social,2022-12-04,Low
1000039,37,29,Chennai,Tamil Nadu,Affluent,3L-6L,Verified,Paid Search,2021-12-08,Low
1000040,58,26,Indore,Madhya Pradesh,Mass Market,<3L,Verified,App Store,2024-07-24,Medium
1000041,32,51,Delhi,Delhi,Affluent,20L+,Verified,Referral,2020-04-16,Medium
1000042,36,35,Coimbatore,Tamil Nadu,Mass Market,6L-10L,Verified,Organic,2021-04-02,Medium
1000043,38,32,Chandigarh,Chandigarh,Mass Market,<3L,Verified,Paid Search,2023-01-04,Low
1000044,53,28,Ahmedabad,Gujarat,Premium,3L-6L,Verified,Paid Search,2020-08-02,Low
1000045,71,45,Pune,Maharashtra,Student,10L-20L,Verified,Paid Search,2021-06-17,Low
1000046,77,32,Visakhapatnam,Andhra Pradesh,SME Owner,3L-6L,Verified,Partner,2026-03-15,Low
1000047,15,32,Jaipur,Rajasthan,Mass Market,3L-6L,Verified,Social,2021-08-09,Low
1000048,6,29,Vadodara,Gujarat,Mass Market,<3L,Verified,Organic,2021-08-13,Low
1000049,70,34,Kochi,Kerala,Mass Market,<3L,Verified,Organic,2021-05-30,Low
1000050,66,37,Coimbatore,Tamil Nadu,Mass Market,3L-6L,Pending,Organic,2019-08-31,Medium
1000051,24,45,Coimbatore,Tamil Nadu,Mass Market,20L+,Verified,Social,2025-10-05,Low
1000052,11,23,Delhi,Delhi,Affluent,3L-6L,Verified,Social,2022-03-17,Medium
1000053,11,30,Ahmedabad,Gujarat,Mass Market,6L-10L,Verified,Partner,2025-03-06,Medium
1000054,40,50,Surat,Gujarat,Mass Market,3L-6L,Verified,Referral,2022-07-11,Medium
1000055,24,35,Surat,Gujarat,Affluent,<3L,Verified,Partner,2019-02-19,Low
1000056,14,40,Mumbai,Maharashtra,Student,<3L,Verified,App Store,2023-02-16,Low
1000057,69,31,Lucknow,Uttar Pradesh,Premium,6L-10L,Verified,Partner,2020-11-30,Low
1000058,66,31,Delhi,Delhi,Affluent,6L-10L,Verified,Organic,2022-04-05,Medium
1000059,45,42,Chandigarh,Chandigarh,SME Owner,<3L,Verified,App Store,2022-06-13,Low
1000060,4,31,Kochi,Kerala,Affluent,<3L,Verified,Referral,2022-01-16,Low
1000061,12,40,Bhopal,Madhya Pradesh,Affluent,10L-20L,Verified,Organic,2024-10-07,Low
1000062,59,44,Chandigarh,Chandigarh,SME Owner,3L-6L,Verified,Organic,2023-12-08,Medium
1000063,32,20,Ahmedabad,Gujarat,Mass Market,3L-6L,Verified,Partner,2023-07-20,Low
1000064,34,35,Visakhapatnam,Andhra Pradesh,Mass Market,3L-6L,Verified,App Store,2021-01-04,Low
1000065,69,33,Jaipur,Rajasthan,SME Owner,6L-10L,Rejected,Paid Search,2023-05-14,Low
1000066,23,39,Kolkata,West Bengal,Student,3L-6L,Verified,Organic,2024-01-06,Medium
1000067,83,45,Bhopal,Madhya Pradesh,Premium,3L-6L,Verified,Organic,2024-09-18,Low
1000068,81,30,Ahmedabad,Gujarat,SME Owner,6L-10L,Verified,Social,2019-04-24,Medium
1000069,51,43,Pune,Maharashtra,Premium,3L-6L,Verified,Referral,2021-07-24,Medium
1000070,25,42,Surat,Gujarat,Mass Market,3L-6L,Verified,Organic,2022-07-03,High
1000071,84,35,Coimbatore,Tamil Nadu,Affluent,10L-20L,Verified,Organic,2022-05-17,Low
1000072,18,36,Delhi,Delhi,Mass Market,<3L,Verified,Paid Search,2026-01-23,Medium
1000073,73,32,Surat,Gujarat,Mass Market,6L-10L,Verified,Paid Search,2026-04-08,Medium
1000074,37,27,Bengaluru,Karnataka,SME Owner,<3L,Verified,Organic,2022-10-29,Low
1000075,73,41,Kochi,Kerala,Premium,6L-10L,Verified,Social,2024-10-02,Medium
1000076,26,37,Surat,Gujarat,Student,6L-10L,Verified,Organic,2021-07-22,Medium
1000077,61,37,Kolkata,West Bengal,Student,3L-6L,Rejected,App Store,2019-11-01,Low
1000078,62,45,Hyderabad,Telangana,SME Owner,6L-10L,Verified,App Store,2019-06-17,Medium
1000079,32,28,Nagpur,Maharashtra,Mass Market,3L-6L,Verified,App Store,2024-11-27,Low
1000080,3,32,Kochi,Kerala,Mass Market,6L-10L,Verified,Paid Search,2025-11-02,Low
1000081,26,18,Bhopal,Madhya Pradesh,Premium,3L-6L,Verified,Organic,2025-08-18,Low
1000082,59,38,Jaipur,Rajasthan,Premium,3L-6L,Verified,Paid Search,2019-07-15,Low
1000083,67,25,Delhi,Delhi,Mass Market,3L-6L,Verified,Partner,2019-08-15,Low
1000084,36,36,Nashik,Maharashtra,Affluent,<3L,Rejected,Organic,2024-09-23,Low
1000085,75,20,Indore,Madhya Pradesh,Mass Market,3L-6L,Verified,Social,2020-10-16,Low
1000086,66,35,Chandigarh,Chandigarh,Mass Market,3L-6L,Verified,App Store,2025-02-17,Low
1000087,9,36,Pune,Maharashtra,Mass Market,6L-10L,Verified,Organic,2019-01-12,Low
1000088,29,33,Kolkata,West Bengal,Mass Market,6L-10L,Verified,Organic,2024-08-07,Low
1000089,45,32,Coimbatore,Tamil Nadu,Premium,20L+,Verified,Paid Search,2023-07-15,Low
1000090,2,28,Nashik,Maharashtra,Mass Market,6L-10L,Verified,Referral,2024-09-08,Low
1000091,24,47,Jaipur,Rajasthan,Student,3L-6L,Verified,Partner,2025-07-09,Low
1000092,65,25,Nashik,Maharashtra,Affluent,6L-10L,Verified,Partner,2023-09-07,High
1000093,72,50,Nashik,Maharashtra,Mass Market,<3L,Verified,App Store,2025-07-27,Low
1000094,12,32,Ahmedabad,Gujarat,Student,3L-6L,Verified,App Store,2020-05-14,Low
1000095,51,47,Vadodara,Gujarat,Mass Market,6L-10L,Verified,Paid Search,2026-04-08,Low
1000096,41,35,Chennai,Tamil Nadu,SME Owner,6L-10L,Verified,App Store,2025-12-07,Low
1000097,72,41,Hyderabad,Telangana,Student,3L-6L,Pending,Referral,2024-07-22,Medium
1000098,70,24,Kochi,Kerala,Affluent,3L-6L,Verified,Organic,2023-09-07,Low
1000099,81,19,Indore,Madhya Pradesh,Mass Market,<3L,Verified,Partner,2023-01-12,Low
1000100,78,46,Bengaluru,Karnataka,Mass Market,3L-6L,Verified,Referral,2022-05-27,Low
1000101,63,48,Nashik,Maharashtra,Premium,6L-10L,Verified,Organic,2024-08-09,Low
1000102,21,27,Delhi,Delhi,Mass Market,<3L,Verified,Referral,2022-07-28,Low
1000103,21,50,Nashik,Maharashtra,Student,3L-6L,Verified,Organic,2019-06-28,Medium
1000104,71,18,Mumbai,Maharashtra,Affluent,6L-10L,Verified,Referral,2020-11-13,Low
1000105,59,34,Coimbatore,Tamil Nadu,Student,6L-10L,Verified,Paid Search,2022-11-12,Medium
1000106,66,29,Coimbatore,Tamil Nadu,Affluent,3L-6L,Verified,Paid Search,2020-06-07,Medium
1000107,24,33,Coimbatore,Tamil Nadu,Affluent,6L-10L,Verified,Paid Search,2022-11-24,Medium
1000108,78,46,Kochi,Kerala,Affluent,<3L,Rejected,Referral,2024-03-19,Low
1000109,15,19,Surat,Gujarat,SME Owner,3L-6L,Verified,Partner,2025-10-22,Low
1000110,69,36,Chandigarh,Chandigarh,Premium,6L-10L,Verified,Organic,2023-01-26,Low
1000111,29,20,Chennai,Tamil Nadu,Student,20L+,Verified,Organic,2025-06-04,Medium
1000112,8,26,Coimbatore,Tamil Nadu,Mass Market,3L-6L,Verified,Paid Search,2020-05-31,Low
1000113,70,38,Nagpur,Maharashtra,Mass Market,6L-10L,Verified,Organic,2020-10-17,Low
1000114,80,34,Surat,Gujarat,Affluent,3L-6L,Verified,Referral,2023-08-03,Low
1000115,82,36,Lucknow,Uttar Pradesh,Affluent,3L-6L,Verified,App Store,2024-06-27,Medium
1000116,3,22,Nagpur,Maharashtra,Mass Market,10L-20L,Verified,Referral,2022-03-11,Low
1000117,39,45,Mumbai,Maharashtra,Premium,10L-20L,Verified,Partner,2026-04-07,Medium
1000118,29,27,Bengaluru,Karnataka,Student,10L-20L,Verified,Partner,2024-04-21,Low
1000119,29,43,Hyderabad,Telangana,Affluent,10L-20L,Verified,Partner,2025-04-29,Low
1000120,33,33,Bengaluru,Karnataka,Affluent,<3L,Verified,Paid Search,2022-11-18,High
1000121,2,42,Jaipur,Rajasthan,Student,6L-10L,Verified,Organic,2019-06-16,Medium
1000122,41,50,Kochi,Kerala,Affluent,20L+,Verified,App Store,2026-01-17,Low
1000123,7,33,Kochi,Kerala,Affluent,6L-10L,Verified,Referral,2025-02-18,Low
1000124,20,51,Surat,Gujarat,Mass Market,3L-6L,Verified,Partner,2025-06-17,Medium
1000125,61,40,Vadodara,Gujarat,Premium,3L-6L,Pending,Organic,2020-10-01,Low
