merchant_id,merchant_name,merchant_category,merchant_city,merchant_state,merchant_tier,onboarding_date,risk_rating,settlement_cycle
500001,Merchant_500001,Grocery,Kolkata,West Bengal,SMB,2024-06-05,Low,T+3
500002,Merchant_500002,Insurance,Mumbai,Maharashtra,Enterprise,2019-10-24,Low,T+1
500003,Merchant_500003,E-commerce,Coimbatore,Tamil Nadu,Mid-Market,2022-09-07,Medium,T+2
500004,Merchant_500004,Pharmacy,Nagpur,Maharashtra,SMB,2025-01-08,Low,T+1
500005,Merchant_500005,Insurance,Ahmedabad,Gujarat,SMB,2022-12-12,Low,T+2
500006,Merchant_500006,Electronics,Kochi,Kerala,SMB,2023-02-17,Low,T+1
500007,Merchant_500007,Electronics,Chandigarh,Chandigarh,SMB,2022-03-31,Low,T+1
500008,Merchant_500008,Food Delivery,Kochi,Kerala,SMB,2024-05-11,Low,T+1
500009,Merchant_500009,Grocery,Nashik,Maharashtra,SMB,2019-04-14,High,T+1
500010,Merchant_500010,E-commerce,Kochi,Kerala,SMB,2026-04-26,Low,T+1
500011,Merchant_500011,Utilities,Delhi,Delhi,SMB,2025-01-15,Low,T+1
500012,Merchant_500012,Travel,Bengaluru,Karnataka,SMB,2022-02-04,Low,T+1
500013,Merchant_500013,Telecom,Chennai,Tamil Nadu,Mid-Market,2024-03-24,Low,T+1
500014,Merchant_500014,Education,Bhopal,Madhya Pradesh,SMB,2026-01-21,Low,T+1
500015,Merchant_500015,E-commerce,Vadodara,Gujarat,Mid-Market,2023-07-02,Medium,T+2
500016,Merchant_500016,Food Delivery,Bhopal,Madhya Pradesh,SMB,2022-04-20,Low,T+1
500017,Merchant_500017,Healthcare,Chennai,Tamil Nadu,Mid-Market,2024-09-20,Low,T+1
500018,Merchant_500018,Fashion,Ahmedabad,Gujarat,SMB,2020-12-28,Low,T+1
500019,Merchant_500019,Grocery,Chandigarh,Chandigarh,SMB,2025-09-05,Low,T+1
500020,Merchant_500020,Restaurants,Surat,Gujarat,SMB,2025-09-12,Low,T+1
500021,Merchant_500021,Restaurants,Kolkata,West Bengal,SMB,2020-09-03,Low,T+2
500022,Merchant_500022,Education,Pune,Maharashtra,SMB,2024-07-10,Low,T+2
500023,Merchant_500023,Government,Chandigarh,Chandigarh,SMB,2021-02-21,Low,T+3
500024,Merchant_500024,Telecom,Mumbai,Maharashtra,SMB,2023-11-17,Low,T+1
500025,Merchant_500025,Insurance,Jaipur,Rajasthan,SMB,2022-08-08,Low,T+1
500026,Merchant_500026,Electronics,Bengaluru,Karnataka,SMB,2021-03-25,Low,T+1
500027,Merchant_500027,Utilities,Chandigarh,Chandigarh,SMB,2025-01-27,Low,T+1
500028,Merchant_500028,Telecom,Chandigarh,Chandigarh,SMB,2021-11-12,High,T+1
500029,Merchant_500029,Restaurants,Bhopal,Madhya Pradesh,SMB,2019-05-31,Low,T+1
500030,Merchant_500030,Healthcare,Mumbai,Maharashtra,SMB,2021-01-07,Low,T+1
500031,Merchant_500031,Food Delivery,Chennai,Tamil Nadu,Mid-Market,2023-10-12,Low,T+1
500032,Merchant_500032,Pharmacy,Surat,Gujarat,Mid-Market,2023-01-06,Low,T+3
500033,Merchant_500033,Pharmacy,Hyderabad,Telangana,SMB,2025-06-15,Low,T+2
500034,Merchant_500034,Electronics,Delhi,Delhi,SMB,2019-05-12,Low,T+1
500035,Merchant_500035,E-commerce,Indore,Madhya Pradesh,SMB,2020-01-14,Low,T+1
500036,Merchant_500036,Pharmacy,Coimbatore,Tamil Nadu,SMB,2020-07-01,Medium,T+1
500037,Merchant_500037,Food Delivery,Surat,Gujarat,Mid-Market,2024-11-13,Low,T+1
500038,Merchant_500038,E-commerce,Kolkata,West Bengal,Enterprise,2023-08-03,Low,T+1
500039,Merchant_500039,E-commerce,Mumbai,Maharashtra,Enterprise,2022-10-24,Low,T+2
500040,Merchant_500040,Fashion,Bhopal,Madhya Pradesh,SMB,2023-03-15,Low,T+2
500041,Merchant_500041,Food Delivery,Visakhapatnam,Andhra Pradesh,SMB,2026-02-17,Low,T+2
500042,Merchant_500042,Healthcare,Jaipur,Rajasthan,Mid-Market,2020-04-26,Medium,T+2
500043,Merchant_500043,Entertainment,Visakhapatnam,Andhra Pradesh,SMB,2022-04-07,Medium,T+1
500044,Merchant_500044,Telecom,Jaipur,Rajasthan,Mid-Market,2026-01-13,Medium,T+1
500045,Merchant_500045,Electronics,Vadodara,Gujarat,Enterprise,2020-09-12,Medium,T+3
500046,Merchant_500046,Restaurants,Ahmedabad,Gujarat,SMB,2021-11-05,High,T+1
500047,Merchant_500047,Education,Bengaluru,Karnataka,SMB,2022-11-23,Low,T+1
500048,Merchant_500048,Education,Mumbai,Maharashtra,SMB,2023-01-23,Low,T+1
500049,Merchant_500049,Education,Vadodara,Gujarat,SMB,2024-07-25,Low,T+1
