ticket_id,customer_id,created_at,issue_category,priority,channel,ticket_status,resolution_hours,customer_satisfaction,agent_team
6084118,1016812,2024-01-01 00:17:43,Fraud Concern,Low,Phone,Resolved,5.9,4.7,Fraud
6030541,1074513,2024-01-01 00:25:31,App Technical Issue,High,Email,Resolved,40.3,5.0,Cards
6023110,1001086,2024-01-01 00:27:54,Account Access,Low,In-App,Open,43.3,4.1,Technical
6074646,1079105,2024-01-01 00:29:14,Payment Failed,High,Social,Resolved,51.3,3.5,Fraud
6055902,1110177,2024-01-01 00:33:22,Payment Failed,High,In-App,Resolved,15.3,5.0,Technical
6074447,1074689,2024-01-01 00:41:04,Chargeback,High,In-App,Resolved,12.8,5.0,Cards
6007856,1082076,2024-01-01 01:01:29,Fraud Concern,High,In-App,Resolved,44.3,4.8,Payments
6031373,1038520,2024-01-01 01:04:39,Payment Failed,Medium,In-App,Resolved,12.9,4.9,Cards
6043450,1095960,2024-01-01 01:39:25,Cash Withdrawal,High,Phone,Resolved,19.2,4.9,KYC
6064893,1020921,2024-01-01 01:42:24,KYC,High,Email,Resolved,40.6,4.6,Cards
6004852,1115466,2024-01-01 01:55:10,Fraud Concern,Medium,In-App,Resolved,5.2,5.0,Fraud
6068563,1021028,2024-01-01 02:08:44,Chargeback,Medium,Phone,Resolved,6.6,4.8,Accounts
6033406,1011292,2024-01-01 02:14:38,KYC,Medium,Email,Resolved,3.0,4.8,Cards
6028938,1097125,2024-01-01 02:38:29,Merchant Dispute,Medium,Email,Resolved,29.6,3.1,Payments
6039853,1072681,2024-01-01 03:09:09,Merchant Dispute,Medium,In-App,Resolved,13.1,4.9,Payments
6063829,1034710,2024-01-01 03:12:02,KYC,High,Phone,Resolved,21.1,4.2,Fraud
6043242,1051829,2024-01-01 03:13:46,Transfer Delayed,Medium,In-App,Resolved,10.9,5.0,Accounts
6038244,1093040,2024-01-01 03:20:52,Cash Withdrawal,Medium,In-App,Resolved,15.1,4.3,Fraud
6061790,1009153,2024-01-01 03:28:34,KYC,High,In-App,Resolved,27.7,4.9,Technical
6088071,1052806,2024-01-01 03:36:15,App Technical Issue,Medium,Chat,Resolved,22.3,3.4,KYC
6058946,1098570,2024-01-01 04:10:15,Cash Withdrawal,Low,Social,Resolved,22.7,4.4,Fraud
6007582,1086561,2024-01-01 04:27:09,App Technical Issue,Low,In-App,Resolved,26.2,4.8,KYC
6050038,1066407,2024-01-01 04:29:03,Fraud Concern,High,Social,Resolved,29.4,4.9,Payments
6023777,1053791,2024-01-01 04:52:29,Refund Delayed,High,Chat,Resolved,26.5,4.0,Fraud
6001869,1082300,2024-01-01 04:54:32,Account Access,Medium,In-App,Open,16.1,4.6,Fraud
6063980,1056307,2024-01-01 05:05:28,Transfer Delayed,Medium,In-App,Resolved,12.8,4.9,Payments
6088161,1078096,2024-01-01 05:14:48,Merchant Dispute,Low,In-App,Pending Customer,30.2,5.0,Payments
6074020,1017818,2024-01-01 06:00:41,Account Access,Medium,In-App,Pending Customer,11.3,4.4,Accounts
6024093,1011247,2024-01-01 06:24:14,Transfer Delayed,High,In-App,Resolved,18.3,3.3,Accounts
6071447,1098067,2024-01-01 06:37:00,Payment Failed,Medium,Phone,Resolved,47.5,3.7,Payments
6046477,1074437,2024-01-01 06:44:20,Payment Failed,Low,Chat,Pending Customer,8.8,4.5,Technical
6001412,1060013,2024-01-01 06:59:15,Chargeback,Low,In-App,Resolved,17.9,4.6,Payments
6084021,1042984,2024-01-01 07:16:17,Refund Delayed,Medium,In-App,Pending Customer,9.7,5.0,Fraud
6024208,1119568,2024-01-01 07:21:35,Cash Withdrawal,Low,Chat,Resolved,21.7,4.9,Accounts
6023206,1098770,2024-01-01 07:38:04,Payment Failed,Low,In-App,Resolved,15.2,5.0,KYC
6038537,1054858,2024-01-01 07:46:16,Cash Withdrawal,High,Email,Resolved,24.4,4.9,Cards
6009979,1065540,2024-01-01 08:08:57,Account Access,Low,Email,Pending Customer,21.8,3.9,Technical
6029200,1072970,2024-01-01 08:15:07,Merchant Dispute,Medium,In-App,Escalated,3.8,4.9,Technical
6064477,1085368,2024-01-01 08:21:34,App Technical Issue,High,Chat,Resolved,18.4,4.5,Payments
6024978,1083126,2024-01-01 08:27:27,Chargeback,High,Email,Resolved,14.4,5.0,KYC
6015999,1048718,2024-01-01 08:28:55,Payment Failed,Medium,In-App,Resolved,9.5,4.6,Accounts
6059917,1117113,2024-01-01 08:43:55,Payment Failed,High,In-App,Escalated,17.8,5.0,Payments
6001018,1006636,2024-01-01 08:48:03,Account Access,Medium,Phone,Resolved,7.8,5.0,Payments
6069756,1031788,2024-01-01 09:30:39,Refund Delayed,Low,Chat,Resolved,10.4,5.0,Fraud
6058500,1106071,2024-01-01 09:35:38,Chargeback,High,Social,Resolved,30.4,3.4,Fraud
6047065,1079201,2024-01-01 09:40:12,Cash Withdrawal,Medium,Email,Resolved,23.2,4.0,KYC
6022028,1072698,2024-01-01 09:52:42,Chargeback,Medium,Chat,Resolved,12.8,4.6,Technical
6027046,1063114,2024-01-01 09:56:02,Transfer Delayed,Low,Phone,Resolved,11.4,5.0,Cards
6073781,1096505,2024-01-01 09:59:16,Fraud Concern,Medium,In-App,Resolved,14.1,5.0,Cards
6044380,1111579,2024-01-01 09:59:38,Cash Withdrawal,Low,In-App,Resolved,20.1,4.5,Cards
6034411,1096969,2024-01-01 09:59:57,Cash Withdrawal,Low,In-App,Resolved,3.1,4.1,Technical
6053917,1095433,2024-01-01 10:06:51,Merchant Dispute,Medium,Chat,Escalated,19.0,4.3,Technical
6062736,1106592,2024-01-01 10:09:48,Payment Failed,Medium,Chat,Resolved,11.2,4.2,Accounts
6078740,1098733,2024-01-01 10:31:17,Payment Failed,High,In-App,Resolved,23.3,4.3,Fraud
6023561,1068838,2024-01-01 10:54:23,App Technical Issue,Medium,Phone,Pending Customer,17.4,5.0,Cards
6027904,1047802,2024-01-01 11:06:59,Chargeback,Low,In-App,Escalated,18.3,5.0,Fraud
6001593,1032293,2024-01-01 11:11:03,Merchant Dispute,Medium,In-App,Resolved,3.3,5.0,KYC
6003754,1027497,2024-01-01 11:22:49,Fraud Concern,High,Email,Pending Customer,43.1,4.5,Technical
6082112,1001369,2024-01-01 11:35:59,Merchant Dispute,Low,In-App,Open,1.6,5.0,Accounts
6069032,1033804,2024-01-01 11:39:15,App Technical Issue,Low,In-App,Resolved,12.0,5.0,Fraud
6026872,1110223,2024-01-01 11:39:27,Merchant Dispute,Medium,In-App,Resolved,3.0,4.0,Fraud
6028576,1001145,2024-01-01 11:47:40,KYC,Critical,Chat,Pending Customer,36.3,4.2,Cards
6004679,1044538,2024-01-01 11:52:35,Payment Failed,Medium,Phone,Open,32.1,3.4,Payments
6039529,1092182,2024-01-01 11:52:46,Payment Failed,Critical,In-App,Open,42.0,4.4,Cards
6034396,1061413,2024-01-01 12:13:23,Payment Failed,High,Social,Open,42.8,4.1,Fraud
6016099,1111398,2024-01-01 12:29:38,Fraud Concern,Low,Chat,Open,8.4,4.6,Cards
6045403,1047913,2024-01-01 12:30:51,Account Access,Medium,Email,Resolved,7.0,4.6,Cards
6022042,1087029,2024-01-01 12:32:09,KYC,Medium,In-App,Resolved,17.0,4.8,Accounts
6016789,1095799,2024-01-01 12:53:22,Payment Failed,Low,In-App,Resolved,15.4,5.0,Cards
6085525,1094874,2024-01-01 12:54:17,Fraud Concern,Medium,In-App,Resolved,43.9,4.2,KYC
6082890,1036270,2024-01-01 13:10:05,Cash Withdrawal,Medium,In-App,Open,13.8,5.0,Payments
6035378,1039712,2024-01-01 13:14:39,Account Access,Low,Email,Resolved,16.4,2.9,KYC
6008170,1019240,2024-01-01 13:15:22,Fraud Concern,High,Email,Open,18.5,4.7,Technical
6061348,1013754,2024-01-01 13:16:14,Account Access,Low,In-App,Escalated,15.7,5.0,Cards
6036897,1052853,2024-01-01 13:28:18,Transfer Delayed,Low,In-App,Resolved,9.3,4.6,Technical
6027811,1048064,2024-01-01 13:34:39,Refund Delayed,Medium,Email,Pending Customer,37.1,4.6,Technical
6085056,1043254,2024-01-01 14:00:16,Chargeback,High,In-App,Resolved,48.7,4.4,Fraud
6061795,1077214,2024-01-01 14:17:32,Merchant Dispute,Low,In-App,Resolved,16.6,4.0,Payments
6041518,1079928,2024-01-01 14:26:11,Payment Failed,Medium,In-App,Open,18.1,4.5,Cards
6058778,1119525,2024-01-01 14:32:12,Refund Delayed,Low,Chat,Resolved,5.5,5.0,Technical
6057701,1020866,2024-01-01 14:38:19,Account Access,Medium,Chat,Resolved,36.9,5.0,Accounts
6003637,1056098,2024-01-01 15:09:45,KYC,Medium,In-App,Resolved,14.6,4.9,KYC
6072224,1005705,2024-01-01 15:15:49,Transfer Delayed,High,Social,Resolved,13.6,4.6,Accounts
6013461,1059988,2024-01-01 15:17:57,Fraud Concern,Medium,Chat,Resolved,17.4,5.0,Cards
6068112,1074341,2024-01-01 15:36:34,Payment Failed,Medium,In-App,Resolved,5.9,5.0,KYC
6070516,1074158,2024-01-01 15:44:52,Refund Delayed,High,Social,Resolved,28.1,4.5,Cards
6044799,1034349,2024-01-01 16:04:48,Fraud Concern,Medium,In-App,Resolved,3.7,5.0,Fraud
6069391,1016161,2024-01-01 16:07:10,Payment Failed,Low,Email,Open,30.9,5.0,Fraud
6069194,1031487,2024-01-01 16:07:52,Payment Failed,Medium,In-App,Resolved,16.7,4.8,Cards
6012589,1077339,2024-01-01 16:08:17,Payment Failed,Medium,In-App,Resolved,53.2,3.2,Accounts
6028113,1100983,2024-01-01 16:09:00,Chargeback,Medium,In-App,Resolved,30.4,3.5,Accounts
6043340,1058380,2024-01-01 16:50:01,Account Access,Medium,Chat,Resolved,13.1,4.7,Fraud
6075913,1015427,2024-01-01 17:13:54,Merchant Dispute,High,In-App,Resolved,30.4,4.6,Accounts
6028475,1091314,2024-01-01 17:26:06,Chargeback,High,Phone,Resolved,20.3,3.1,KYC
6010180,1094774,2024-01-01 17:34:40,App Technical Issue,High,In-App,Resolved,47.4,3.2,Payments
6028765,1082648,2024-01-01 17:54:34,Transfer Delayed,Medium,Chat,Resolved,39.7,4.6,KYC
6019899,1012066,2024-01-01 17:58:23,Refund Delayed,Low,Chat,Open,53.4,4.4,Technical
6085728,1118752,2024-01-01 17:58:40,Refund Delayed,Medium,Email,Resolved,6.1,5.0,Payments
6046323,1054287,2024-01-01 18:09:49,KYC,High,Email,Resolved,57.9,1.9,Cards
6019558,1044520,2024-01-01 18:35:29,Cash Withdrawal,Medium,Chat,Resolved,17.7,5.0,Payments
6041217,1109720,2024-01-01 18:39:39,Cash Withdrawal,High,Chat,Resolved,23.1,4.8,Accounts
6042473,1094031,2024-01-01 18:48:27,Chargeback,High,In-App,Escalated,23.2,4.4,Technical
6047315,1106730,2024-01-01 18:54:29,Fraud Concern,Low,Social,Resolved,14.3,5.0,Fraud
6073322,1095617,2024-01-01 19:02:52,Transfer Delayed,High,Phone,Resolved,13.6,4.2,Fraud
6024278,1024815,2024-01-01 19:07:40,Refund Delayed,High,Chat,Resolved,18.5,3.8,Accounts
6020857,1003993,2024-01-01 19:13:08,Transfer Delayed,High,Phone,Resolved,16.2,4.7,Accounts
6014147,1051254,2024-01-01 19:15:57,Merchant Dispute,Low,Social,Resolved,18.3,4.8,Cards
6056276,1058456,2024-01-01 19:16:42,Chargeback,Medium,Email,Resolved,35.2,5.0,Payments
6084297,1073640,2024-01-01 19:27:53,Refund Delayed,Medium,In-App,Resolved,13.8,5.0,Payments
6084063,1108206,2024-01-01 19:28:33,KYC,High,Email,Resolved,33.2,3.7,Technical
6046523,1107029,2024-01-01 19:30:11,Fraud Concern,Medium,In-App,Escalated,11.4,4.8,Accounts
6016309,1031054,2024-01-01 19:33:14,Transfer Delayed,Low,In-App,Resolved,11.6,5.0,KYC
6044726,1047028,2024-01-01 19:47:59,Fraud Concern,Medium,Chat,Resolved,14.5,4.0,KYC
6074480,1073363,2024-01-01 19:50:54,Fraud Concern,Low,Phone,Resolved,5.2,4.8,Payments
6056814,1110269,2024-01-01 19:56:26,Merchant Dispute,Medium,Chat,Open,15.3,5.0,Technical
6042984,1088472,2024-01-01 20:22:48,Transfer Delayed,Medium,Email,Pending Customer,13.9,4.5,Fraud
6080138,1053521,2024-01-01 20:22:54,Account Access,High,Email,Resolved,45.6,3.9,Accounts
6013713,1070046,2024-01-01 20:26:08,Refund Delayed,Medium,Chat,Resolved,14.1,4.7,Cards
6020388,1018988,2024-01-01 21:02:57,Refund Delayed,High,In-App,Resolved,19.7,4.5,Accounts
6050384,1084437,2024-01-01 21:24:59,Merchant Dispute,Medium,Phone,Resolved,14.4,5.0,Payments
6035480,1105426,2024-01-01 21:25:36,Merchant Dispute,Low,Chat,Resolved,4.9,5.0,Payments
6081956,1116211,2024-01-01 21:44:37,Cash Withdrawal,Medium,Phone,Resolved,16.6,5.0,Cards
6007101,1060513,2024-01-01 22:12:03,Cash Withdrawal,Medium,In-App,Resolved,8.7,5.0,Fraud
6032681,1108940,2024-01-01 22:18:18,Transfer Delayed,Low,Phone,Open,34.4,5.0,KYC
6045083,1079439,2024-01-01 22:37:46,Cash Withdrawal,Medium,In-App,Resolved,6.9,5.0,Fraud
6080647,1107116,2024-01-01 22:43:37,Account Access,Low,Phone,Escalated,15.7,4.0,Accounts
6062094,1003260,2024-01-01 23:29:14,Account Access,Low,Email,Resolved,7.7,4.3,Cards
6051216,1054981,2024-01-02 00:05:59,Refund Delayed,Medium,In-App,Resolved,21.9,4.5,Fraud
6083389,1053349,2024-01-02 00:12:22,Chargeback,Medium,Email,Resolved,28.3,4.3,Technical
6086603,1021373,2024-01-02 00:22:17,Payment Failed,Medium,Chat,Open,8.8,3.9,Cards
6059073,1013171,2024-01-02 00:27:03,Transfer Delayed,High,In-App,Pending Customer,18.0,4.4,Cards
6004055,1052010,2024-01-02 00:31:18,Transfer Delayed,Medium,Email,Resolved,10.0,5.0,Accounts
6020113,1043121,2024-01-02 00:34:51,Payment Failed,High,Social,Resolved,19.4,5.0,Payments
6076222,1063247,2024-01-02 00:48:43,Fraud Concern,Medium,In-App,Resolved,38.7,3.8,Payments
6012983,1102342,2024-01-02 01:01:26,Account Access,Low,Email,Resolved,36.8,4.1,Technical
6069760,1082555,2024-01-02 01:06:25,Payment Failed,Medium,In-App,Resolved,32.6,4.7,KYC
6005410,1079293,2024-01-02 01:32:46,App Technical Issue,Medium,In-App,Resolved,5.7,4.8,Fraud
6028231,1009506,2024-01-02 02:04:46,Chargeback,Low,Email,Resolved,11.0,5.0,Payments
6003541,1096717,2024-01-02 02:11:38,App Technical Issue,Medium,Email,Escalated,37.8,3.7,Cards
6023285,1082673,2024-01-02 02:12:59,Fraud Concern,High,Phone,Resolved,27.0,5.0,Technical
6055714,1053840,2024-01-02 02:52:12,Fraud Concern,Medium,Chat,Resolved,7.6,4.7,Payments
6028007,1096659,2024-01-02 02:55:27,Account Access,High,Email,Resolved,30.1,5.0,Fraud
6081880,1053977,2024-01-02 03:04:00,Account Access,Medium,In-App,Resolved,12.9,4.9,Fraud
6085399,1061232,2024-01-02 03:56:51,Account Access,Medium,In-App,Escalated,37.0,3.8,Accounts
6008339,1081096,2024-01-02 04:04:54,Refund Delayed,Medium,In-App,Resolved,8.4,5.0,KYC
6048757,1097658,2024-01-02 04:34:45,KYC,Medium,Phone,Resolved,21.3,5.0,Accounts
6024159,1023946,2024-01-02 04:46:09,Payment Failed,Low,In-App,Resolved,22.5,4.1,Technical
6020884,1067861,2024-01-02 04:48:40,KYC,Low,In-App,Resolved,25.9,5.0,Payments
6034650,1086728,2024-01-02 05:03:30,Transfer Delayed,Medium,Social,Open,9.9,4.8,KYC
