account_id,customer_id,account_type,account_status,opened_date,current_balance_inr,credit_limit_inr
1,6620,Credit,Active,2024-02-17,45854.87,98373.18
2,10369,Savings,Active,2024-11-23,128742.19,0.0
3,28137,Salary,Active,2023-03-17,51998.54,0.0
4,9971,Savings,Active,2025-07-30,22892.15,0.0
5,46267,Savings,Dormant,2022-09-18,5602.16,0.0
6,21995,Current,Active,2025-10-07,8976.6,0.0
7,62443,Current,Active,2022-06-18,33621.62,0.0
8,102027,Savings,Active,2023-01-12,63108.96,0.0
9,49859,Savings,Active,2025-11-05,51622.49,0.0
10,98052,Current,Closed,2025-09-16,13108.46,0.0
11,75526,Current,Active,2024-04-17,17482.68,0.0
12,94634,Current,Active,2025-06-18,159096.61,0.0
13,92274,Salary,Dormant,2023-05-10,158083.39,0.0
14,108245,Current,Dormant,2025-03-15,24755.96,0.0
15,101751,Savings,Active,2023-09-17,7020.47,0.0
16,73299,Current,Active,2025-09-19,6718.26,0.0
17,11196,Savings,Active,2023-11-16,35148.53,0.0
18,97851,Savings,Active,2024-02-03,47820.89,0.0
19,18481,Savings,Active,2025-05-11,50947.19,0.0
20,37609,Salary,Active,2026-02-28,13746.95,0.0
21,32714,Credit,Active,2026-01-29,15169.81,164465.58
22,18806,Current,Active,2024-08-16,24383.96,0.0
23,101529,Salary,Dormant,2024-02-15,22692.48,0.0
24,91823,Savings,Active,2024-06-03,50622.75,0.0
25,116527,Savings,Closed,2022-03-26,112708.79,0.0
26,101074,Current,Active,2026-03-02,74863.28,0.0
27,102067,Current,Active,2023-07-13,12328.95,0.0
28,38419,Savings,Active,2024-02-27,27119.32,0.0
29,98830,Savings,Active,2023-08-24,36686.37,0.0
30,73944,Savings,Active,2026-11-04,335218.59,0.0
31,69972,Savings,Closed,2023-03-24,16359.3,0.0
32,74520,Savings,Active,2025-06-30,19748.68,0.0
33,54763,Savings,Active,2022-10-21,8992.4,0.0
34,21039,Current,Active,2025-11-21,23643.51,0.0
35,72495,Current,Active,2025-12-24,15674.02,0.0
36,94302,Salary,Active,2024-08-20,6508.02,0.0
37,5924,Savings,Active,2024-07-31,23083.59,0.0
38,76745,Current,Closed,2023-12-10,40392.07,0.0
39,3181,Savings,Active,2026-03-14,34916.85,0.0
40,77577,Credit,Dormant,2023-12-22,38742.5,252747.99
41,111703,Current,Active,2023-10-22,84350.43,0.0
42,118715,Current,Closed,2024-03-24,46376.15,0.0
43,2738,Savings,Active,2024-12-22,111337.5,0.0
44,97665,Savings,Active,2024-04-10,25767.8,0.0
45,85318,Current,Active,2025-08-13,126105.36,0.0
46,30809,Current,Active,2026-07-21,7125.44,0.0
47,4536,Savings,Active,2024-02-28,37768.98,0.0
