chargeback_id,transaction_id,chargeback_date,reason_code,chargeback_amount_inr,chargeback_status,recovery_amount_inr,merchant_response_days
1,278913,2026-04-29,Processing Error,2200.99,Won,1520.16,8
2,1121236,2026-01-19,Fraud,7864.47,Lost,2752.5,24
3,958720,2025-06-14,Product Not Received,689.04,Won,220.31,21
4,1108194,2026-01-02,Fraud,2764.61,Lost,96.71,1
5,993114,2024-09-23,Processing Error,202.21,Lost,28.6,7
6,1276038,2026-03-07,Fraud,958.97,Won,397.46,23
7,172620,2026-07-29,Product Not Received,593.83,Won,247.52,13
8,1083424,2026-03-06,Product Not Received,454.39,Won,231.39,20
9,636028,2025-03-29,Fraud,3406.32,Won,2751.39,27
10,1295818,2026-05-06,Product Not as Described,2229.32,Lost,496.94,15
11,613156,2025-09-14,Fraud,463.3,Won,201.62,12
12,660526,2024-10-01,Duplicate,3960.69,Won,263.72,12
13,1356795,2026-01-03,Processing Error,926.83,Won,41.57,14
14,783736,2026-04-27,Fraud,2448.62,Won,1988.0,27
15,956660,2026-01-28,Product Not Received,111.43,Partially Recovered,3.23,9
16,991206,2025-10-28,Fraud,801.51,Lost,286.49,14
17,270958,2024-10-15,Product Not Received,3171.58,Won,1821.62,2
18,1066942,2026-03-02,Fraud,326.15,Partially Recovered,177.0,21
19,1351951,2024-02-06,Fraud,807.67,Won,628.93,11
20,783115,2026-05-10,Fraud,535.28,Lost,110.73,2
21,574239,2025-12-30,Product Not Received,659.47,Lost,127.61,18
22,1182646,2026-01-10,Fraud,1146.85,Lost,821.44,23
23,966942,2025-04-27,Fraud,2507.29,Partially Recovered,923.83,12
24,293773,2025-10-23,Fraud,1644.07,Partially Recovered,439.64,13
25,655929,2026-03-27,Fraud,1577.48,Partially Recovered,1329.74,24
26,224118,2026-04-16,Processing Error,1389.47,Won,759.96,6
27,895536,2025-06-12,Fraud,703.81,Partially Recovered,173.62,21
28,618038,2025-05-13,Processing Error,1099.16,Lost,869.33,29
29,873667,2025-01-25,Product Not as Described,644.16,Won,128.57,12
30,1008407,2025-01-06,Fraud,3322.89,Partially Recovered,2552.33,30
31,1105378,2025-12-01,Product Not Received,3096.21,Open,1442.71,5
32,222008,2025-08-03,Fraud,2802.36,Partially Recovered,547.62,21
33,749589,2025-08-30,Fraud,1241.18,Won,148.19,4
34,209492,2025-10-23,Fraud,513.35,Lost,182.45,15
35,405616,2025-05-04,Fraud,217.31,Partially Recovered,143.21,14
36,690923,2026-06-20,Processing Error,495.89,Lost,255.5,3
37,623246,2026-03-07,Processing Error,1697.69,Partially Recovered,928.94,7
38,721953,2025-11-28,Duplicate,554.92,Partially Recovered,339.76,17
39,1246353,2026-04-08,Product Not Received,1553.22,Lost,507.48,14
40,905636,2026-01-07,Duplicate,1602.74,Lost,369.03,25
41,3689,2025-03-18,Fraud,7286.5,Lost,5949.23,5
42,341582,2022-11-13,Processing Error,2031.91,Lost,879.24,15
43,910173,2026-02-15,Product Not Received,14652.76,Partially Recovered,11753.47,5
44,583408,2026-03-05,Product Not as Described,101.75,Lost,75.19,21
45,697987,2027-01-16,Product Not as Described,365.01,Lost,300.99,3
46,115812,2025-11-19,Fraud,4245.05,Partially Recovered,2256.83,28
47,1459190,2024-03-09,Processing Error,1564.35,Lost,631.8,23
48,953912,2025-12-06,Duplicate,482.96,Partially Recovered,157.12,26
49,516737,2025-09-04,Product Not Received,627.05,Lost,75.04,16
50,591693,2024-05-09,Fraud,951.65,Won,290.81,29
51,709442,2026-02-02,Duplicate,2869.56,Open,181.07,29
52,629076,2026-04-25,Product Not Received,744.04,Lost,125.3,30
53,1028879,2025-10-31,Fraud,861.84,Won,99.93,12
54,984849,2026-03-08,Fraud,2481.41,Lost,2034.57,11
55,964939,2026-03-17,Product Not Received,7246.28,Partially Recovered,3272.19,4
56,357899,2025-10-25,Fraud,789.76,Lost,611.38,29
57,1271792,2024-12-13,Fraud,606.13,Lost,293.87,15
58,732284,2025-09-08,Product Not Received,886.83,Partially Recovered,307.64,22
59,434456,2026-03-19,Fraud,4580.43,Lost,548.06,17
60,1202018,2025-02-02,Product Not Received,4601.61,Partially Recovered,1800.6,22
61,1319001,2026-03-23,Duplicate,539.22,Won,404.76,21
62,1082587,2025-12-02,Product Not as Described,209.84,Won,44.11,24
63,904154,2025-12-16,Processing Error,1257.34,Lost,1045.67,30
64,592059,2026-07-23,Processing Error,640.0,Lost,340.75,14
65,1468017,2026-03-27,Fraud,1883.52,Partially Recovered,558.19,8
66,142739,2026-06-23,Product Not Received,290.01,Partially Recovered,124.67,13
67,828499,2024-05-18,Product Not as Described,345.38,Won,138.94,1
68,584524,2025-06-08,Product Not Received,1502.59,Lost,965.48,27
69,562427,2025-12-14,Processing Error,3187.23,Won,909.96,4
70,1138544,2025-08-08,Fraud,690.43,Won,111.43,25
71,1473276,2025-11-13,Product Not Received,683.92,Won,183.2,16
72,203278,2026-05-09,Fraud,2194.19,Won,765.23,4
73,805050,2026-03-10,Processing Error,1542.09,Lost,109.31,25
74,1415026,2026-01-19,Processing Error,298.71,Partially Recovered,47.79,7
75,634031,2024-06-18,Product Not as Described,6142.89,Partially Recovered,3969.02,9
76,141143,2025-05-05,Product Not Received,1093.82,Won,705.73,29
77,532038,2025-12-25,Fraud,13500.85,Won,1697.2,23
78,777545,2026-01-30,Fraud,1114.24,Partially Recovered,652.41,12
79,788293,2026-02-12,Fraud,131.44,Won,61.88,2
80,1326674,2026-08-17,Fraud,368.35,Open,218.35,9
81,1492728,2025-11-06,Duplicate,4817.79,Won,1458.34,17
82,1083181,2025-12-29,Fraud,1864.96,Open,401.28,15
83,1119964,2024-07-24,Duplicate,2520.62,Lost,627.43,6
84,1365566,2026-01-16,Fraud,547.52,Lost,40.24,2
85,1391665,2024-09-26,Processing Error,1021.76,Partially Recovered,317.07,28
86,453197,2025-01-19,Product Not as Described,172.53,Partially Recovered,42.45,28
87,978412,2026-02-11,Product Not as Described,842.26,Won,382.98,22
88,1046143,2025-08-10,Fraud,1131.76,Lost,190.87,12
89,1481115,2026-04-18,Product Not Received,766.57,Lost,147.94,11
90,347965,2025-11-24,Product Not as Described,536.25,Won,377.64,13
91,1247838,2025-05-02,Product Not as Described,874.89,Won,112.23,10
92,541033,2025-11-25,Processing Error,201.8,Lost,162.54,15
93,41371,2026-02-14,Fraud,424.46,Partially Recovered,154.75,23
94,74942,2025-12-29,Processing Error,455.51,Won,71.63,12
95,1124769,2026-01-27,Fraud,3342.34,Open,2691.11,29
96,508762,2025-10-16,Product Not Received,244.9,Won,205.43,13
97,254368,2026-01-30,Product Not as Described,254.34,Partially Recovered,140.37,11
98,1029274,2026-02-07,Fraud,673.11,Lost,517.85,9
99,964222,2024-08-01,Product Not Received,6619.94,Partially Recovered,377.8,27
