customer_id,customer_tenure_months,age,city,state,customer_segment,income_band,kyc_status,acquisition_channel,signup_date,risk_band
1,11,40,Chennai,Tamil Nadu,Mass,50K-100K,Verified,Digital,2025-01-31,Medium
2,0,54,Pune,Maharashtra,Affluent,250K+,Verified,Digital,2025-12-30,Low
3,20,72,Hyderabad,Telangana,Affluent,100K-250K,Verified,Digital,2024-05-10,Medium
4,5,68,Mumbai,Maharashtra,Mass,25K-50K,Verified,Branch,2025-07-18,Medium
5,11,65,Ahmedabad,Gujarat,Mass,25K-50K,Verified,Digital,2025-02-04,Low
6,12,47,Mumbai,Maharashtra,Affluent,25K-50K,Verified,Partner,2024-12-31,Low
7,13,22,Ahmedabad,Gujarat,Affluent,250K+,Verified,Partner,2024-11-10,Low
8,44,67,Lucknow,Uttar Pradesh,Affluent,50K-100K,Verified,Branch,2022-05-02,Medium
9,33,76,Mumbai,Maharashtra,Mass,100K-250K,Verified,Digital,2023-04-12,Low
10,7,43,Surat,Gujarat,Affluent,25K-50K,Pending,Digital,2025-05-23,Medium
11,37,79,Surat,Gujarat,Premium,<25K,Verified,Referral,2022-11-27,Low
12,45,61,Hyderabad,Telangana,Mass,<25K,Verified,Partner,2022-03-29,Low
13,2,26,Pune,Maharashtra,Affluent,50K-100K,Verified,Referral,2025-10-28,Medium
14,11,69,Mumbai,Maharashtra,Premium,100K-250K,Verified,Digital,2025-01-28,Low
15,19,32,Jaipur,Rajasthan,SME,100K-250K,Verified,Digital,2024-05-21,Low
16,44,46,Kolkata,West Bengal,Affluent,<25K,Verified,Referral,2022-05-11,Low
17,4,76,Mumbai,Maharashtra,Premium,50K-100K,Verified,Digital,2025-08-25,Low
18,23,69,Surat,Gujarat,Mass,50K-100K,Verified,Digital,2024-02-09,Medium
19,37,60,Delhi,Delhi,Affluent,50K-100K,Verified,Digital,2022-12-10,Low
20,0,28,Chennai,Tamil Nadu,Mass,50K-100K,Verified,Digital,2025-12-08,Low
21,21,64,Bengaluru,Karnataka,Affluent,50K-100K,Pending,Digital,2024-03-16,Medium
22,35,56,Mumbai,Maharashtra,Premium,25K-50K,Verified,Digital,2023-01-21,Low
23,8,46,Chennai,Tamil Nadu,Affluent,25K-50K,Verified,Digital,2025-04-30,Low
24,16,30,Ahmedabad,Gujarat,Mass,50K-100K,Verified,Referral,2024-08-13,Low
25,39,58,Indore,Madhya Pradesh,Mass,<25K,Verified,Digital,2022-10-04,Low
26,9,46,Mumbai,Maharashtra,Mass,<25K,Verified,Digital,2025-03-30,Medium
27,33,62,Pune,Maharashtra,Mass,50K-100K,Verified,Branch,2023-04-05,Low
28,4,46,Mumbai,Maharashtra,Affluent,25K-50K,Verified,Digital,2025-08-30,Low
29,48,36,Ahmedabad,Gujarat,Affluent,25K-50K,Verified,Digital,2022-01-22,Low
30,40,58,Chennai,Tamil Nadu,SME,<25K,Verified,Digital,2022-09-10,Medium
31,23,73,Bengaluru,Karnataka,Mass,50K-100K,Verified,Digital,2024-01-18,High
32,20,22,Indore,Madhya Pradesh,Affluent,50K-100K,Verified,Partner,2024-05-06,Medium
33,32,39,Indore,Madhya Pradesh,Affluent,100K-250K,Verified,Partner,2023-04-20,Low
34,12,78,Indore,Madhya Pradesh,Affluent,<25K,Verified,Digital,2024-12-18,Low
35,31,58,Ahmedabad,Gujarat,Mass,25K-50K,Verified,Partner,2023-05-26,Medium
36,25,50,Surat,Gujarat,Premium,25K-50K,Verified,Referral,2023-12-01,Medium
37,16,59,Ahmedabad,Gujarat,Affluent,25K-50K,Verified,Partner,2024-09-02,Low
38,42,65,Bengaluru,Karnataka,Premium,50K-100K,Verified,Branch,2022-07-09,Low
39,16,74,Kolkata,West Bengal,Mass,25K-50K,Verified,Branch,2024-08-15,Low
40,25,48,Mumbai,Maharashtra,Mass,25K-50K,Verified,Digital,2023-11-18,Low
41,16,61,Bengaluru,Karnataka,Mass,<25K,Verified,Branch,2024-08-15,Low
42,29,53,Kolkata,West Bengal,Premium,25K-50K,Verified,Digital,2023-07-17,Low
43,6,41,Bengaluru,Karnataka,Affluent,<25K,Verified,Digital,2025-06-21,Low
44,21,74,Lucknow,Uttar Pradesh,Mass,<25K,Verified,Partner,2024-04-11,Low
45,10,53,Kolkata,West Bengal,Affluent,25K-50K,Verified,Partner,2025-02-28,High
46,27,59,Bengaluru,Karnataka,Premium,25K-50K,Verified,Branch,2023-10-09,Low
47,48,36,Bengaluru,Karnataka,Mass,25K-50K,Verified,Digital,2022-01-21,Medium
48,20,60,Delhi,Delhi,Premium,<25K,Verified,Branch,2024-04-20,Low
49,43,38,Chennai,Tamil Nadu,Mass,100K-250K,Rejected,Digital,2022-06-16,Low
50,5,36,Lucknow,Uttar Pradesh,Mass,50K-100K,Verified,Partner,2025-07-21,High
51,35,30,Mumbai,Maharashtra,Affluent,<25K,Verified,Digital,2023-01-23,Low
52,28,38,Lucknow,Uttar Pradesh,Affluent,25K-50K,Verified,Digital,2023-08-24,Low
53,38,62,Indore,Madhya Pradesh,Premium,50K-100K,Verified,Digital,2022-11-12,Low
54,48,24,Hyderabad,Telangana,Affluent,50K-100K,Pending,Digital,2022-01-14,Low
55,40,72,Indore,Madhya Pradesh,Affluent,<25K,Verified,Partner,2022-08-30,Low
56,22,67,Indore,Madhya Pradesh,Mass,25K-50K,Verified,Branch,2024-02-16,Medium
57,3,25,Lucknow,Uttar Pradesh,Affluent,100K-250K,Verified,Digital,2025-10-01,Medium
58,29,79,Hyderabad,Telangana,Mass,50K-100K,Verified,Digital,2023-07-19,Low
59,18,26,Surat,Gujarat,Mass,50K-100K,Verified,Digital,2024-06-16,Low
60,3,75,Bengaluru,Karnataka,Mass,100K-250K,Verified,Branch,2025-09-25,Medium
61,45,49,Chennai,Tamil Nadu,Mass,<25K,Verified,Digital,2022-04-02,Low
62,2,77,Hyderabad,Telangana,Mass,50K-100K,Verified,Partner,2025-10-22,Low
63,16,25,Ahmedabad,Gujarat,Mass,50K-100K,Verified,Partner,2024-08-13,Low
