merchant_id,merchant_name,merchant_category,merchant_city,merchant_state,merchant_tier,onboarding_date,risk_rating,settlement_cycle
1,Merchant_00001,Grocery,Ahmedabad,Gujarat,Enterprise,2025-03-11,Medium,T+3
2,Merchant_00002,Utilities,Pune,Maharashtra,SMB,2022-03-13,Low,T+2
3,Merchant_00003,Utilities,Jaipur,Rajasthan,SMB,2025-02-19,Low,T+3
4,Merchant_00004,Healthcare,Indore,Madhya Pradesh,SMB,2023-07-05,Low,T+2
5,Merchant_00005,Education,Jaipur,Rajasthan,SMB,2025-03-05,Low,T+2
6,Merchant_00006,Entertainment,Lucknow,Uttar Pradesh,Mid-Market,2024-03-11,Low,T+1
7,Merchant_00007,Education,Kolkata,West Bengal,SMB,2024-10-06,High,T+2
8,Merchant_00008,Fashion,Delhi,Delhi,SMB,2024-08-17,Medium,T+2
9,Merchant_00009,Utilities,Kolkata,West Bengal,SMB,2025-09-15,Medium,T+1
10,Merchant_00010,Fashion,Delhi,Delhi,Mid-Market,2023-09-22,Medium,T+2
11,Merchant_00011,Travel,Ahmedabad,Gujarat,SMB,2024-05-26,Medium,T+1
12,Merchant_00012,Dining,Kolkata,West Bengal,SMB,2024-05-26,Low,T+2
13,Merchant_00013,Healthcare,Surat,Gujarat,Mid-Market,2022-02-19,High,T+3
14,Merchant_00014,Dining,Pune,Maharashtra,Enterprise,2025-10-15,Low,T+1
15,Merchant_00015,Dining,Lucknow,Uttar Pradesh,SMB,2025-06-22,Medium,T+1
16,Merchant_00016,Grocery,Bengaluru,Karnataka,SMB,2023-07-22,High,T+2
17,Merchant_00017,Dining,Chennai,Tamil Nadu,Mid-Market,2024-06-25,High,T+1
18,Merchant_00018,Dining,Chennai,Tamil Nadu,Enterprise,2025-09-29,Medium,T+2
19,Merchant_00019,Healthcare,Jaipur,Rajasthan,Mid-Market,2022-03-20,Medium,T+2
20,Merchant_00020,Utilities,Mumbai,Maharashtra,SMB,2022-07-28,Low,T+2
21,Merchant_00021,Healthcare,Ahmedabad,Gujarat,SMB,2022-07-13,Low,T+2
22,Merchant_00022,Entertainment,Bengaluru,Karnataka,Mid-Market,2024-06-14,Medium,T+1
23,Merchant_00023,Entertainment,Mumbai,Maharashtra,SMB,2025-07-08,Medium,T+2
24,Merchant_00024,Healthcare,Kolkata,West Bengal,SMB,2022-08-26,Medium,T+2
25,Merchant_00025,Healthcare,Surat,Gujarat,SMB,2023-08-10,Low,T+1
26,Merchant_00026,Grocery,Ahmedabad,Gujarat,SMB,2023-03-10,Low,T+2
27,Merchant_00027,Healthcare,Jaipur,Rajasthan,Mid-Market,2023-02-17,Medium,T+2
28,Merchant_00028,Healthcare,Jaipur,Rajasthan,SMB,2022-11-13,Medium,T+2
29,Merchant_00029,Dining,Bengaluru,Karnataka,SMB,2025-01-06,Low,T+1
30,Merchant_00030,Entertainment,Delhi,Delhi,SMB,2025-11-29,Medium,T+2
31,Merchant_00031,Dining,Mumbai,Maharashtra,Enterprise,2025-07-12,Medium,T+1
32,Merchant_00032,E-commerce,Surat,Gujarat,Mid-Market,2023-12-09,Medium,T+2
33,Merchant_00033,Utilities,Kolkata,West Bengal,SMB,2024-01-04,Low,T+2
34,Merchant_00034,E-commerce,Kolkata,West Bengal,SMB,2024-03-26,Low,T+2
35,Merchant_00035,Entertainment,Pune,Maharashtra,Mid-Market,2025-01-01,Low,T+1
36,Merchant_00036,Education,Chennai,Tamil Nadu,SMB,2024-02-07,Medium,T+1
37,Merchant_00037,Education,Delhi,Delhi,SMB,2023-05-28,Low,T+2
38,Merchant_00038,Travel,Indore,Madhya Pradesh,Mid-Market,2024-02-29,Low,T+1
39,Merchant_00039,Grocery,Lucknow,Uttar Pradesh,Mid-Market,2023-10-13,Medium,T+1
40,Merchant_00040,Grocery,Indore,Madhya Pradesh,Mid-Market,2023-02-10,Medium,T+2
41,Merchant_00041,Electronics,Chennai,Tamil Nadu,SMB,2022-02-05,Low,T+1
42,Merchant_00042,Electronics,Indore,Madhya Pradesh,SMB,2024-02-20,Low,T+3
43,Merchant_00043,Fashion,Pune,Maharashtra,SMB,2025-09-06,High,T+2
44,Merchant_00044,Utilities,Bengaluru,Karnataka,SMB,2024-02-18,Low,T+1
45,Merchant_00045,Fashion,Delhi,Delhi,Mid-Market,2023-11-02,High,T+1
46,Merchant_00046,Travel,Lucknow,Uttar Pradesh,SMB,2023-07-23,Low,T+2
47,Merchant_00047,E-commerce,Delhi,Delhi,SMB,2022-07-20,Low,T+2
48,Merchant_00048,Travel,Lucknow,Uttar Pradesh,Enterprise,2025-06-06,Low,T+2
49,Merchant_00049,Travel,Pune,Maharashtra,Mid-Market,2022-10-15,High,T+2
50,Merchant_00050,Grocery,Pune,Maharashtra,Mid-Market,2025-06-16,Medium,T+1
51,Merchant_00051,Travel,Ahmedabad,Gujarat,SMB,2022-03-07,Low,T+2
52,Merchant_00052,Education,Delhi,Delhi,SMB,2024-05-27,Low,T+1
53,Merchant_00053,E-commerce,Pune,Maharashtra,Mid-Market,2024-09-28,High,T+1
54,Merchant_00054,Dining,Lucknow,Uttar Pradesh,SMB,2024-09-14,Low,T+1
55,Merchant_00055,Dining,Hyderabad,Telangana,SMB,2022-09-05,Medium,T+1
56,Merchant_00056,Electronics,Indore,Madhya Pradesh,Mid-Market,2023-01-07,Low,T+2
57,Merchant_00057,Healthcare,Lucknow,Uttar Pradesh,SMB,2025-02-10,Medium,T+3
58,Merchant_00058,E-commerce,Pune,Maharashtra,SMB,2022-09-11,Low,T+2
59,Merchant_00059,Education,Pune,Maharashtra,SMB,2022-02-08,Low,T+2
60,Merchant_00060,Travel,Chennai,Tamil Nadu,SMB,2025-09-28,Low,T+2
61,Merchant_00061,Entertainment,Ahmedabad,Gujarat,Enterprise,2025-12-16,Medium,T+2
62,Merchant_00062,E-commerce,Kolkata,West Bengal,Mid-Market,2024-01-19,Low,T+2
63,Merchant_00063,Education,Chennai,Tamil Nadu,Mid-Market,2025-08-12,Low,T+2
64,Merchant_00064,Fashion,Chennai,Tamil Nadu,SMB,2024-04-22,Medium,T+3
65,Merchant_00065,Fashion,Hyderabad,Telangana,Mid-Market,2024-08-22,Medium,T+1
66,Merchant_00066,Healthcare,Kolkata,West Bengal,SMB,2024-08-11,Low,T+1
67,Merchant_00067,Healthcare,Surat,Gujarat,Mid-Market,2023-03-17,Low,T+1
68,Merchant_00068,E-commerce,Chennai,Tamil Nadu,Enterprise,2022-01-07,Low,T+2
69,Merchant_00069,Utilities,Pune,Maharashtra,Mid-Market,2023-02-18,Medium,T+2
70,Merchant_00070,Electronics,Delhi,Delhi,SMB,2025-02-25,Low,T+1
71,Merchant_00071,Entertainment,Surat,Gujarat,SMB,2023-03-17,Low,T+2
72,Merchant_00072,Electronics,Bengaluru,Karnataka,Enterprise,2023-08-31,Low,T+1
73,Merchant_00073,Utilities,Mumbai,Maharashtra,SMB,2025-08-02,Medium,T+2
74,Merchant_00074,Entertainment,Chennai,Tamil Nadu,SMB,2023-06-23,Low,T+2
75,Merchant_00075,Entertainment,Ahmedabad,Gujarat,Mid-Market,2025-06-16,Low,T+2
76,Merchant_00076,Dining,Indore,Madhya Pradesh,SMB,2024-03-27,Low,T+1
77,Merchant_00077,Education,Indore,Madhya Pradesh,SMB,2024-04-21,Low,T+2
78,Merchant_00078,Fashion,Delhi,Delhi,SMB,2024-10-15,Low,T+2
79,Merchant_00079,Grocery,Ahmedabad,Gujarat,Mid-Market,2025-01-14,Low,T+1
80,Merchant_00080,E-commerce,Kolkata,West Bengal,Enterprise,2023-05-30,Low,T+1
81,Merchant_00081,Education,Kolkata,West Bengal,SMB,2025-07-12,Low,T+1
82,Merchant_00082,Entertainment,Surat,Gujarat,Mid-Market,2023-01-17,Low,T+2
83,Merchant_00083,Dining,Jaipur,Rajasthan,SMB,2025-02-22,Low,T+2
84,Merchant_00084,Fashion,Chennai,Tamil Nadu,SMB,2022-09-04,Medium,T+3
85,Merchant_00085,Electronics,Indore,Madhya Pradesh,Mid-Market,2022-09-18,Low,T+3
86,Merchant_00086,Entertainment,Indore,Madhya Pradesh,Enterprise,2024-04-16,Low,T+1
87,Merchant_00087,Electronics,Surat,Gujarat,Enterprise,2024-10-06,Medium,T+2
88,Merchant_00088,Electronics,Jaipur,Rajasthan,SMB,2025-12-22,Medium,T+2
89,Merchant_00089,Travel,Surat,Gujarat,SMB,2023-08-10,Low,T+1
90,Merchant_00090,Education,Lucknow,Uttar Pradesh,SMB,2025-01-17,Low,T+3
91,Merchant_00091,Utilities,Surat,Gujarat,Enterprise,2025-12-31,Medium,T+1
92,Merchant_00092,Travel,Jaipur,Rajasthan,Enterprise,2025-05-10,Low,T+2
93,Merchant_00093,E-commerce,Indore,Madhya Pradesh,Mid-Market,2022-12-28,Low,T+2
94,Merchant_00094,Fashion,Pune,Maharashtra,Mid-Market,2022-01-18,High,T+2
95,Merchant_00095,Entertainment,Pune,Maharashtra,Enterprise,2025-09-17,Medium,T+1
96,Merchant_00096,Entertainment,Jaipur,Rajasthan,Enterprise,2023-03-02,Medium,T+2
97,Merchant_00097,Education,Lucknow,Uttar Pradesh,SMB,2023-03-16,Low,T+1
98,Merchant_00098,Dining,Pune,Maharashtra,SMB,2024-10-27,Low,T+1
99,Merchant_00099,Fashion,Chennai,Tamil Nadu,SMB,2025-08-02,Low,T+1
100,Merchant_00100,Entertainment,Lucknow,Uttar Pradesh,Enterprise,2024-11-28,Low,T+1
101,Merchant_00101,Fashion,Chennai,Tamil Nadu,SMB,2024-02-21,Low,T+1
102,Merchant_00102,Dining,Surat,Gujarat,SMB,2022-08-02,Low,T+3
103,Merchant_00103,Healthcare,Jaipur,Rajasthan,Mid-Market,2022-09-30,Medium,T+2
104,Merchant_00104,Fashion,Jaipur,Rajasthan,Mid-Market,2025-09-23,Medium,T+3
105,Merchant_00105,Healthcare,Surat,Gujarat,SMB,2024-01-31,Low,T+2
106,Merchant_00106,Entertainment,Surat,Gujarat,SMB,2024-11-05,Low,T+2
107,Merchant_00107,Grocery,Mumbai,Maharashtra,Mid-Market,2025-11-21,Low,T+2
108,Merchant_00108,Fashion,Ahmedabad,Gujarat,Mid-Market,2022-10-19,Low,T+1
109,Merchant_00109,Entertainment,Ahmedabad,Gujarat,SMB,2023-03-25,Medium,T+2
110,Merchant_00110,E-commerce,Hyderabad,Telangana,SMB,2024-04-15,Medium,T+1
111,Merchant_00111,Healthcare,Mumbai,Maharashtra,SMB,2025-01-08,Medium,T+2
112,Merchant_00112,Utilities,Jaipur,Rajasthan,Mid-Market,2022-11-27,Low,T+2
113,Merchant_00113,Grocery,Delhi,Delhi,Enterprise,2023-11-10,Low,T+1
114,Merchant_00114,Travel,Surat,Gujarat,SMB,2023-08-12,Low,T+2
115,Merchant_00115,Grocery,Hyderabad,Telangana,SMB,2024-04-19,Medium,T+2
116,Merchant_00116,Entertainment,Lucknow,Uttar Pradesh,Mid-Market,2025-07-23,Low,T+1
117,Merchant_00117,Healthcare,Mumbai,Maharashtra,Mid-Market,2024-11-21,Low,T+2
118,Merchant_00118,Healthcare,Indore,Madhya Pradesh,SMB,2023-10-08,Medium,T+1
119,Merchant_00119,Entertainment,Bengaluru,Karnataka,SMB,2024-05-20,Low,T+1
120,Merchant_00120,Entertainment,Pune,Maharashtra,Enterprise,2024-10-15,Low,T+2
121,Merchant_00121,Entertainment,Ahmedabad,Gujarat,SMB,2023-09-04,Low,T+3
122,Merchant_00122,Electronics,Chennai,Tamil Nadu,SMB,2022-12-10,Low,T+2
123,Merchant_00123,Healthcare,Delhi,Delhi,Mid-Market,2023-05-08,Low,T+2
124,Merchant_00124,Travel,Delhi,Delhi,SMB,2022-11-12,Medium,T+2
125,Merchant_00125,Utilities,Kolkata,West Bengal,Mid-Market,2023-03-03,Low,T+1
126,Merchant_00126,Healthcare,Delhi,Delhi,Enterprise,2025-11-14,High,T+1
127,Merchant_00127,Travel,Mumbai,Maharashtra,Enterprise,2022-04-19,Medium,T+2
128,Merchant_00128,Dining,Indore,Madhya Pradesh,SMB,2025-10-31,Medium,T+1
129,Merchant_00129,Entertainment,Indore,Madhya Pradesh,SMB,2023-08-17,Low,T+1
130,Merchant_00130,E-commerce,Indore,Madhya Pradesh,SMB,2025-02-19,Low,T+2
131,Merchant_00131,Grocery,Pune,Maharashtra,SMB,2023-11-27,Low,T+2
132,Merchant_00132,Healthcare,Hyderabad,Telangana,SMB,2025-01-14,Low,T+2
133,Merchant_00133,Utilities,Surat,Gujarat,SMB,2024-03-22,Medium,T+2
134,Merchant_00134,Dining,Ahmedabad,Gujarat,Mid-Market,2025-01-31,High,T+2
135,Merchant_00135,Travel,Pune,Maharashtra,SMB,2024-09-24,Medium,T+2
136,Merchant_00136,Entertainment,Jaipur,Rajasthan,SMB,2024-10-01,Low,T+1
137,Merchant_00137,Grocery,Delhi,Delhi,SMB,2025-07-26,Low,T+2
138,Merchant_00138,Fashion,Lucknow,Uttar Pradesh,SMB,2024-10-21,Medium,T+2
139,Merchant_00139,Grocery,Ahmedabad,Gujarat,Mid-Market,2023-08-29,Low,T+1
140,Merchant_00140,Healthcare,Hyderabad,Telangana,SMB,2024-08-16,Low,T+3
141,Merchant_00141,Utilities,Hyderabad,Telangana,Mid-Market,2025-08-13,High,T+2
142,Merchant_00142,Healthcare,Indore,Madhya Pradesh,SMB,2022-01-12,Low,T+1
143,Merchant_00143,Healthcare,Lucknow,Uttar Pradesh,SMB,2024-11-27,Low,T+1
144,Merchant_00144,Electronics,Hyderabad,Telangana,Mid-Market,2022-05-17,Low,T+2
145,Merchant_00145,Entertainment,Surat,Gujarat,Enterprise,2025-02-28,High,T+1
146,Merchant_00146,Utilities,Indore,Madhya Pradesh,Enterprise,2022-02-13,Low,T+1
147,Merchant_00147,Dining,Surat,Gujarat,Mid-Market,2024-09-01,Low,T+1
148,Merchant_00148,Education,Ahmedabad,Gujarat,SMB,2022-08-11,Low,T+1
149,Merchant_00149,Utilities,Pune,Maharashtra,SMB,2024-10-26,Low,T+2
150,Merchant_00150,Dining,Kolkata,West Bengal,Mid-Market,2023-06-19,Medium,T+1
151,Merchant_00151,E-commerce,Delhi,Delhi,SMB,2022-06-16,Low,T+1
152,Merchant_00152,Electronics,Mumbai,Maharashtra,Mid-Market,2023-06-15,High,T+2
153,Merchant_00153,Utilities,Bengaluru,Karnataka,Mid-Market,2022-12-31,High,T+2
154,Merchant_00154,Electronics,Mumbai,Maharashtra,SMB,2023-07-14,Low,T+2
155,Merchant_00155,Healthcare,Kolkata,West Bengal,SMB,2022-12-04,Medium,T+2
156,Merchant_00156,Entertainment,Chennai,Tamil Nadu,Mid-Market,2022-04-08,High,T+1
157,Merchant_00157,Dining,Ahmedabad,Gujarat,SMB,2022-08-09,Low,T+1
158,Merchant_00158,Entertainment,Delhi,Delhi,Enterprise,2023-10-15,Low,T+3
159,Merchant_00159,Travel,Mumbai,Maharashtra,Mid-Market,2025-02-17,High,T+2
160,Merchant_00160,Fashion,Hyderabad,Telangana,SMB,2022-12-25,Low,T+2
161,Merchant_00161,Dining,Mumbai,Maharashtra,Mid-Market,2025-02-14,High,T+1
162,Merchant_00162,Healthcare,Lucknow,Uttar Pradesh,SMB,2022-08-18,Medium,T+1
163,Merchant_00163,Entertainment,Kolkata,West Bengal,Mid-Market,2022-09-11,Medium,T+1
164,Merchant_00164,Utilities,Surat,Gujarat,SMB,2022-09-01,Medium,T+1
165,Merchant_00165,Education,Pune,Maharashtra,Mid-Market,2025-04-11,Low,T+2
166,Merchant_00166,Education,Jaipur,Rajasthan,SMB,2025-12-30,Medium,T+2
167,Merchant_00167,Travel,Bengaluru,Karnataka,SMB,2025-11-06,Medium,T+1
168,Merchant_00168,Fashion,Surat,Gujarat,SMB,2024-10-04,Low,T+1
169,Merchant_00169,Grocery,Jaipur,Rajasthan,Mid-Market,2022-02-11,Low,T+1
170,Merchant_00170,Grocery,Chennai,Tamil Nadu,SMB,2025-10-29,Low,T+2
171,Merchant_00171,Travel,Mumbai,Maharashtra,SMB,2024-09-21,Medium,T+1
172,Merchant_00172,Fashion,Mumbai,Maharashtra,Mid-Market,2025-01-31,Low,T+2
173,Merchant_00173,Utilities,Mumbai,Maharashtra,SMB,2023-07-29,Medium,T+2
174,Merchant_00174,E-commerce,Lucknow,Uttar Pradesh,Mid-Market,2024-04-18,Low,T+2
175,Merchant_00175,E-commerce,Delhi,Delhi,Enterprise,2023-01-29,Medium,T+1
176,Merchant_00176,Fashion,Jaipur,Rajasthan,SMB,2025-09-03,Low,T+3
