ticket_id,customer_id,created_at,issue_category,priority,channel,ticket_status,resolution_hours,customer_satisfaction,agent_team
1,8522,2023-09-17 19:32:58,Fraud Alert,High,Phone,Resolved,4.56,5.0,Payments
2,98944,2025-02-02 10:35:10,Payment Failure,High,Web,Closed,6.39,4.0,Fraud & Risk
3,31645,2025-12-26 07:04:20,Refund,High,Mobile App,Closed,14.39,3.0,Fraud & Risk
4,75575,2025-08-04 22:15:06,KYC,High,Email,Closed,12.37,4.0,Disputes
5,25145,2024-06-19 14:05:37,Fraud Alert,Low,Phone,Resolved,10.68,4.0,Fraud & Risk
6,100894,2023-03-24 09:19:41,General Inquiry,High,Mobile App,Closed,81.95,3.0,Payments
7,70824,2025-08-13 02:43:15,Payment Failure,High,Mobile App,Resolved,7.04,4.0,Payments
8,109528,2025-11-18 21:48:02,Chargeback,Low,Mobile App,Closed,15.05,4.0,KYC
9,103905,2025-12-01 17:00:33,Refund,Medium,Mobile App,Closed,12.54,5.0,Fraud & Risk
10,67692,2025-02-04 13:29:45,General Inquiry,Low,Web,In Progress,10.99,,KYC
11,103569,2025-11-15 01:05:21,Refund,Low,Mobile App,Closed,8.54,3.0,Disputes
12,59693,2023-10-23 18:46:18,Chargeback,Medium,Web,Closed,6.16,3.0,KYC
13,4343,2025-05-18 00:55:34,KYC,Low,Phone,Closed,2.56,5.0,Account Services
14,81819,2024-06-30 11:38:39,Account Access,High,Mobile App,Resolved,3.32,4.0,Disputes
15,105979,2025-05-08 19:40:10,KYC,Low,Web,Closed,14.03,4.0,Disputes
16,44470,2023-03-26 15:10:05,Account Access,High,Phone,Resolved,13.36,4.0,Fraud & Risk
17,33886,2025-11-22 10:29:08,KYC,High,Mobile App,Resolved,23.26,5.0,Payments
18,66498,2024-05-13 10:32:13,Payment Failure,High,Phone,Resolved,9.74,4.0,KYC
19,36265,2025-09-30 22:57:08,Merchant Dispute,Medium,Web,Closed,14.85,4.0,Account Services
20,107099,2024-03-15 07:49:45,Refund,Medium,Mobile App,Closed,3.99,3.0,Fraud & Risk
21,107528,2024-06-20 18:15:52,Merchant Dispute,Medium,Email,Resolved,11.31,3.0,Account Services
22,47280,2025-11-27 23:07:56,Fraud Alert,Low,Web,Open,0.0,,Disputes
23,52890,2025-08-25 15:54:16,Fraud Alert,Medium,Phone,Closed,8.16,4.0,KYC
24,12675,2025-12-13 05:12:07,KYC,Medium,Web,Resolved,1.45,4.0,KYC
25,92716,2024-01-01 08:23:06,Chargeback,High,Branch,Closed,25.16,4.0,Account Services
26,16807,2025-10-17 05:32:35,Refund,Medium,Email,Closed,80.64,4.0,Fraud & Risk
27,9044,2025-08-03 00:43:14,Fraud Alert,Medium,Email,Resolved,7.89,3.0,Payments
28,70911,2024-04-16 18:39:53,General Inquiry,Low,Web,Resolved,12.79,4.0,Account Services
29,28697,2024-01-18 15:15:24,Account Access,Medium,Mobile App,Resolved,1.09,3.0,Fraud & Risk
30,108843,2025-11-05 00:44:49,Payment Failure,Medium,Branch,Resolved,2.69,4.0,Payments
31,111865,2024-03-23 21:51:38,Payment Failure,Low,Mobile App,Resolved,17.1,4.0,Account Services
32,119024,2024-12-08 04:30:35,KYC,Medium,Phone,Closed,3.83,4.0,Disputes
33,23178,2024-10-27 07:06:24,Account Access,High,Email,Resolved,5.79,5.0,KYC
34,70433,2023-02-18 13:19:07,Payment Failure,Low,Mobile App,Resolved,25.27,3.0,KYC
35,47588,2025-12-30 18:21:00,General Inquiry,Low,Web,Resolved,3.99,2.0,Fraud & Risk
36,59245,2025-05-03 18:52:01,KYC,Low,Mobile App,In Progress,7.23,,KYC
37,108190,2025-11-01 11:45:18,KYC,Low,Phone,Open,0.0,,Fraud & Risk
38,102810,2025-01-29 12:15:54,Fraud Alert,Medium,Mobile App,Resolved,185.88,4.0,KYC
39,82453,2024-05-27 21:33:57,KYC,Low,Mobile App,Closed,2.4,3.0,Account Services
40,75434,2025-04-08 13:38:50,Payment Failure,Medium,Email,Resolved,29.29,4.0,Account Services
41,55509,2025-04-17 22:15:55,Account Access,Medium,Mobile App,Resolved,4.23,4.0,Disputes
42,26524,2025-12-19 07:33:35,Account Access,Medium,Mobile App,Resolved,2.97,4.0,KYC
43,6872,2024-04-12 04:23:27,Chargeback,Low,Phone,Resolved,19.89,3.0,Fraud & Risk
44,90430,2025-12-01 01:33:44,General Inquiry,Medium,Phone,Resolved,9.27,4.0,Disputes
45,36074,2025-09-17 09:30:25,Payment Failure,Low,Mobile App,Resolved,6.65,5.0,Account Services
46,71995,2025-08-23 07:27:30,Payment Failure,Low,Email,Closed,10.26,2.0,Disputes
47,46432,2025-12-08 14:54:02,KYC,Medium,Mobile App,Resolved,15.88,5.0,Disputes
48,13978,2025-05-22 05:43:34,General Inquiry,High,Web,Resolved,13.61,5.0,Disputes
49,19874,2025-02-26 18:59:56,Payment Failure,Medium,Web,Closed,15.35,5.0,Account Services
50,91628,2025-11-20 13:12:11,Payment Failure,High,Mobile App,Resolved,2.15,5.0,Disputes
51,30155,2025-02-14 01:02:58,Chargeback,Low,Web,Resolved,5.78,3.0,Account Services
52,50526,2023-01-19 19:33:43,KYC,Medium,Phone,Resolved,17.5,5.0,Account Services
53,71724,2024-06-01 07:58:40,Payment Failure,Low,Email,Resolved,7.11,4.0,Account Services
54,102937,2025-02-25 18:21:43,Fraud Alert,High,Email,Closed,1.32,3.0,Payments
